Theme,Category,Description,Keyword Examples ,Reference
Political ,Charter 08,"References to Charter 08, a manifesto initially signed by over 350 Chinese intellectuals and human rights activists",08宪章 (Charter 08),https://en.wikipedia.org/wiki/Charter_08
Political ,China,"General terms referring to China, Chinese culture, or the Chinese people that are too generic to fit in any other category.",大陆 (Mainland [China]),
Political ,Christian practice in China,"General References to Christian practice in China including: Chinese pastors, House churches, etc","你们要向耶和华唱新歌
(Sing to the Lord a new song)
",
Political ,Church of the Almighty God,Church of Almighty God is a Chinese Christian movement that has been described by the government as a cult and terrorist group. ,"全能神教
(Almighty God)",http://en.wikipedia.org/wiki/Eastern_Lightning
Political ,Circumvention,References to general terms related to Internet censorship circumvention or circumvention software.,psiphon,
Political ,Communist Party of China Criticism,"Pejorative, derogatory terms referring to CPC, terms referencing criticism of CPC",共匪 (Communist gangsters),
Political ,Communist Party of China General,"General references to the CPC including government departments, buildings, CPC doctrine, etc",党员 (Party member),
Political ,Corruption ,"Terms that reference corruption scandals involving either government of private sector actors. (e.g. embezzlement, bribery, etc.)","
反腐網 (Anti-corruption website/network)",
Political ,Detention,"General references to criminal detentions, re-education through labor, imprisonment, black jails, etc.",劳教所 (Re-education through labor (RTL) facility),
Political ,Democracy ,General references to Democracy Movements in China,min运人士 (Democracy activists),
Political ,Disease,"General health references and references to specific diseases  (e.g. Aids, SARS, Ebola, etc.)",禽流感 (Avian Flu),
Political ,Ethnic Groups,General references to ethnic groups in China ,"民族平等、文字平等、保护母语 (Ethnic equality, language equality, protection of the mother tongue)",
Political ,Falun Gong,Falun Gong is a relgious movement in China that has been persecuted by the government,车仑大法 (Falun Dafa),https://en.wikipedia.org/wiki/Falun_Gong
Political ,Government,General terms referencing government and political systems. Not related to any particular country / jurisdiction,政府 (Government),
Political ,Hong Kong,References to Hong Kong ,全民公投 (Referendum),
Political ,Huazang Dharama,"Chinese authorities accuse Wu Zeheng, the head of the Buddhist-inspired Hua Zang Dharma, of using his holy status to defraud and have sex with devotees. This proscecution has been called politically motivated. ",企业联合会 (Enterprise Confederation),http://www.ibtimes.co.uk/china-hua-zang-dharma-cult-leader-wu-zeheng-faces-rape-fraud-charges-1511143
Political ,Hui,General references to the Hui ethnic group in China.,回民 (Hui People),http://en.wikipedia.org/wiki/Hui_people
Political ,Human Rights,"General reference to human rights with no direct reference to particular event, group or person.",人权 (Human Rights),
Political ,Human Rights Organizations,Reference to specific  Human rights organizations,记者无国界 (Reporters Without Borders),
Political ,International relations -- Sino-Japanese Relations,General references to Chinese and Japanese relations,军妓 (Military brothels),
Political ,International relations -- United States,General references to the United States and US politicians,奥巴马 (Obama),
Political ,Islam,References to Islam and muslim culture ,穆斯林 (Muslim),
Political ,Law,General references to the law and legal terms.,"
律师 (Lawyers)",
Political ,Media ,Generic terms related to the media,记者采访 (Journalist interview),
Political ,Media -- Chinese independent / opposition,References to specific independent / opposition media in China,苹果日报香港版 (Apple Daily Hong Kong Edition),
Political ,Media -- Chinese pro gov,"References to specific pro government media in China (e.g, People's Daily, CCTV, Global Times, etc.)",CCTV,
Political ,Media -- International,Reference to specfic international media ,自由亚洲电台 (Radio Free Asia),
Political ,Military/Police,Used for content relating to the Chinese military or police.,军警 (Military police),
Political ,National Security,General references to national security ,危及国家安全 (Threat to national security),
Political ,Protest,"General terms related to protests, demonstrations, marches including those that are not related to a particular event.",起义 (Uprising),
Political ,Petitioning (Administrative System),Petitioning is an administrative system in the PRC to hear complaints and grievances from individual citizens.,信访 (Petitioning),
Political ,Political Parties (Non-CPC),Political Parties related to China that are not CPC,"中国自由民主党 (Liberty Democracy Party of China)
",
Political ,Religion ,General references to religion that do not appear directly related to particular religion or issue.,宗教压迫 (Religious oppression),
Political ,Taiwan,References to Taiwan,台湾 (Taiwan),
Political ,Terrorism ,"References to terrorism (groups, ideologies, persons)",伊斯兰圣战 (Islamic Jihad),
Political ,Tibet,"General references to Tibet, Tibetan culture, issues, etc rather than specific incidents (i.e. self immolation)",藏独 (Tibet independence),
Political ,Tuidang,"Encouragement and publicization of Communist Party officials who have left the party, including events and media, primarily organized by Falun Gong-related media.","tuidang九评 (tuidang Nine Commentaries)
",
Political ,Uyghur,Terms that generally refer to Uyghur related issues rather than specific events (i.e. Urumqi Riots July 2009),东突厥斯坦 (East Turkestan),
Social ,Gambling,"References to gambling (websites, services, casinos, etc)",在线下注(online betting),
Social ,Illicit goods and services ,"Illicit products and materials - e.g. narcotics, firearms, explosives, weapons, poison, counterfeit goods, exam takers. Some products included here are not illegal but there are concerns about the use of the products in crimes. For example realistic human face masks, air guns, etc",摇头丸 (Ecstasy pills),
Social ,Lottery,Chinese lottery and incidents and scams related to it,6合彩 Mark Six (Lottery game),
Social ,Prurient,"References to sexuality, pornography, prostituion, etc. ",口交 (oral sex),
Social ,Online novels,References to online novels or novels which have versions that can be found online.,东风传奇 (East wind legends),
Technology ,Chinese software / websites,References to names of Chinese software products and websites ,六间房 (Six Room),
Technology ,Code,"Code snippets including: malicious code, messages from software, or official-looking administrative messages from service","UCIM_window.showModalDialog
",
Technology ,Emails,Keywords that are obviously emails ,"hykm1865@163.com
",
Technology ,Generic technology terms,General technology terms ,互联网 (Internet),
Technology ,Hardware,References to devices and other hardware,电视棒 (TV Stick),
Technology ,Online Game,References to online games,传奇外传私服 (Legend Gaiden),
Technology ,Phone numbers,Entries that are obviously  phone numbers,"001 -800 -546 -4518
",
Technology ,Sina,"Internal references to Sina UC / Show app strings / operations. Keywords related to the company generally should go in ""Business""","""51ucaddress""",
Technology ,Spyware,References to commercial off the shelf spyware / malware,FlexiSpy PRO,
Technology ,URLs,URLs or URL fragments.,www.pornhub.com,
Technology ,User names and id numbers,"User names, id numbers, QQ accounts, and phone numbers ","qq 2789928662
",
Technology ,Western Websites / Social Media,Refrences to Western websites and social media platforms,Facebook,
