Check,Keyword,Machine translation,Human translation (if necessary),Notes,Source,Source2,Source3
,九评共产党,Nine Commentaries on the Communist Party,,Falun Gong criticisms,http://www.theepochtimes.com/n3/3942-nine-commentaries-on-the-communist-party-introduction/,,
,李旺阳,Li Wangyang,,"Dissident and activist who was found dead after giving an interview about June 4. Authorities initially claimed was sucide, but others alleged it was a possible murder. However, authorities refused to investigate and protests took place in HK.",http://en.wikipedia.org/wiki/Death_of_Li_Wangyang,,
,薄周政变,Thin weeks coup,Bo [Xilai] and Zhou [Yangkang] coup,alleged coup against Hu and Wen,,,
,法拉利 保福寺桥,Ferrari Paul Temple Bridge,"Ferrari, Baofu[si] Bridge",Son of Hu aide Ling Jihua crashed his ferrari in Beijing. Coverup was revealed and Ling was forced out.,http://cmp.hku.hk/2012/03/20/20565/,,
,自由门 翻墙,Freegate wall,"Freegate, climb [the Great Fire]wall",Freegate circumvention software,,,
,江胡斗内幕,Jiang Hu Dou Insider,"Jiang-Hu conflict, the inside story",Supposed inside scoops about conflicts between Jiang Zemin and Hu Jintao,,,
,权斗中共,CCP power struggle,,,,,
,六四事件,June incident,,,,,
,北京之夏六四,Beijing Summer sixty-four,"Beijing Summer, June 4",,,,
,江系人马名单,Jiang faction list,Jiang Zemin faction list of names,江系 is an alternative name for the Shanghai gang (上海帮),,,
,江泽民其人,Jiang Zemin and his people,,,,,
,一九八九 记忆的呼唤,One thousand nine hundred eighty-nine call memory,1989 rememberance and calling out of names,Refers to the reciting of victim's names in public events,,,
,中共 太子党,CCP princeling,,,,,
,六四 周舵,Sixty-four weeks rudder,"June 4, Zhou Duo",Zhou is a June 4 activist,http://edition.cnn.com/2009/WORLD/asiapcf/06/04/tiananmen.hunger.strike/,,
,陆肆事件,Lusi event,June 4 event,,,,
,伍凡 中共,Wu Fan CCP,,Falun Gong supporter critical of China,http://www.epochtimes.com/gb/13/10/23/n3992742.htm,,
,江系人马,Jiang faction,,,,,
,六四天安门文件,Tiananmen file,The June 4 Tiananmen Papers,Insider documents detailing the arguments within the CCP about how to deal with the protestors; were collectd in a book called The Tiananmen Papers,http://en.wikipedia.org/wiki/The_Tiananmen_Papers,,
,上访 府右街,Petition Fuyoujie,"Petition, Fuyou Street","Fuyou Street is in Beijing, where the Appeal's Office is. Was the site of a large demonstration by Falun Gong members on April 25, 1999.",http://en.minghui.org/html/articles/2012/4/3/132531p.html,http://en.wikipedia.org/wiki/Falun_Gong#Tianjin_and_Zhongnanhai_protests,
,镇压 六月四日,June 4 crackdown,,,,,
,丁子霖,Ding Zilin,,activist,,,
,赵紫阳 平反,Zhao Ziyang vindicated,,Zhao Ziyang was the purged former general secratary of CCP who advocated for peaceful solutions with the June 4 protesters,,,
,太子党 中共,CCP princeling,,,,,
,共产党 9ping,Communist 9ping,Communist 9 Commentaries,"the Nine Commentaries of the CCP, as published by the Falun Gong. (ping is pinyin for 评论, meaning commentary)",,,
,九评 共产党,Nine Commentaries on the Communist Party,,,,,
,9评 共产党,9 Commentaries,,,,,
,中共封锁,CCP blockade,,"perhaps both Internet related and various ""sieges"" like in Wukan where the army attempted to blockade the offending village",,,
,中共暴政,CCP tyranny,,,,,
,盘古 共匪,Pangu Bandits,,Pangu is a punk band and Bandits (referring to Communist Bandits) is an album of theirs,,,
,王维林,Wang Weilin,,some suggest he might be Tank Man,,,
,唐人 NTDTV,Chinese NTDTV,NTDTV,Falun Gong-supported TV station,,,
,阿波罗新闻,Apollo News,aboluowang.com,Another foreign website very critical of CCP,,,
,多维新闻,Multidimensional News,Duowei News,Overseas newspaper also sometimes critical of CCP,,,
,无界浏览,UltraSurf,,circumvention tool,,,
,自由门 无界,Freegate unbounded,Freegate and Ultrasurf,circumvention tool,,,
,胡温 太子党,Hu and Wen princelings,,,,,
,人民报动态网,De Volkskrant dynamic network,Dongtaiwang,website critical of CCP,,,
,天安门1989,"Tiananmen Square, 1989",,,,,
,六一零 刘京,Six hundred ten Liu Jing,"610 [Office], Liu Jing",Alleged department in government that is in charge of cracking down on Falun Gong. Liu Jing (sometimes Liu Jin) was the reported head of this department,http://en.minghui.org/html/articles/2004/3/9/zip.html#45890,http://en.wikipedia.org/wiki/610_Office,http://www.epochtimes.com/gb/13/6/17/n3895635.htm
,赵紫阳 日记,Zhao's diary,Zhao Ziyang's diary,refers to the diary tapes he recorded which turned into the book Prisoner of the State,http://en.wikipedia.org/wiki/Prisoner_of_the_State:_The_Secret_Journal_of_Premier_Zhao_Ziyang,,
,退党 灭中共,Quit the CCP off,Tuidang: wipe out the CCP,movement tracking the people who have quit the Communist party,,,
,法轮功,Falun Gong,,,,,
,温家宝 27亿,Wen Jiabao 2700000000,Wen Jiabao 2.7 biillion [dollars],How much his family allegedly has secretly hidden,http://www.nytimes.com/2012/10/26/business/global/family-of-wen-jiabao-holds-a-hidden-fortune-in-china.html?_r=0,,
,影帝温家,Actor wenjia,Best Actor Wen Jiabao,refers to book criticizing Wen Jiabao,http://en.wikipedia.org/wiki/China's_Best_Actor:_Wen_Jiabao,,
,温影帝,Wen winner,Wen [Jiabao] Best Actor,,,,
,64屠城,64 massacre,June 4 massacre,,,,
,中南海 内幕,Zhongnanhai Insider,Zhongnanhai inside story,,,,
,胡江权斗,HU Jiang power struggle,Hu-Jiang power struggle,,,,
,中国联邦革命党,China Federation Revolutionary Party,,,http://www.aboluowang.com/2012/0120/233112.html#.UoRVSvmsim5,,
,中国茉莉花革命,Chinese Jasmine Revolution,,,,,
,中共镇压,Chinese Communist repression,,,,,
*,天灭中共,Days off Chinese Communist,Last days of the CCP?,天灭 is a phrase mostly only used on Falun Gong websites,,,
,鲍彤,Bao Tong,,former Director of the Office of Political Reform of the CPC Central Committee and the Policy Secretary of Zhao Ziyang,,,
,六四 李锐,Sixty-four Li Rui,,retired politician of the People's Republic of China from the ruling Communist Party and latterly a writer and vocal advocate of democratic reform in China (Wikipedia),,,
,黑匣子 中共,Black Box CCP,"""Black Box"", CCP",Book and movie about corruption in CCP,,,
,退党潮,Resign tide,Tuidang movement,,,,
,藏区自焚,Tibetan self-immolation,,,,,
,维吾尔族砍人,Uighur knives to injure,Uyghurs stab people,Also on the earlier shorter list of LINE bad words,http://blockedonweibo.tumblr.com/post/65683767674/uyghurs-stab-people-wei-zu-kan,,
,解救许开生,Rescue Xukai Sheng,Help Xu Kaisheng,"Military vet who is a beggar. Wrote a plea for help on behalf of other veterans and detailing the various troubles with the city he's had. Also on the list of 150 ""bad words"" that hirakujira uncovered. More here: http://blockedonweibo.tumblr.com/post/65525907975/the-chinese-keywords-on-messaging-app-lines-bad",http://blog.boxun.com/hero/201106/voiceofveteran/26_1.shtml,http://blockedonweibo.tumblr.com/post/65525907975/the-chinese-keywords-on-messaging-app-lines-bad,
*,进京集访,Beijing set to visit,Go to Beijing for investivation/collect evidence?,Not sure. Maybe has to do with petitioners or other folks going to Beijing to get evidence from government for cases back home?,,,
,江习不合,Jiang Xi substandard,Jiang-Xi not cooperating,About the supposed rift between Jiang and Xi,,,
,俞正声 公共情人,Yu Public Lover,"Yu Zhengsheng, shared mistress",notable CCP leader whose career might be derailed by allegations that he shared a misstress and corruption,http://www.brookings.edu/about/centers/china/top-future-leaders/yu_zhengsheng,,
,八九民主,1989 that,1989 democracy,,,,
,中共非法,CCP illegal,,,,,
,陈希同亲述,Said Chen Xitong pro,"""Conversations with Chen Xitong""","Chen was Beijing politician brought down by a scandal. Previously, he was also a public gov face of the Tiananmen crackdown. Conversation with Chen Xitong is a 2012 book wherein the author quotes Chen as denying much of his involvement in the crackdown on Tiananmen, pinning the blame on others, saying he was mayor in name only and that others made the crucial decisions.",http://www.bbc.co.uk/zhongwen/simp/china/2013/06/130605_profile_chen_xitong.shtml,,
,魏京生64,Wei Jingsheng 64,Wei Jingsheng June 4,dissident,,,
,陆四运动,Lu four sports,June 4 movement,,,,
,李鹏日记,Li Peng Diaries,,"A book of Li Peng’s supposed diary entries entitled The Critical Moment was planned for release in 2010, but it was halted just before publication. In it, Li justifies many of his most vilified acts and emphasizes that it was a group decision to enter the square. ",http://blockedonweibo.tumblr.com/post/54104611291/every-month-bird-is-code-for-li-peng-premier-china,,
,八九民运,June incident,,,,,
,老江去世,Laojiangdi death,Old Jiang passed away,about the false rumors that Jiang had died,,,
,维园64,Victoria Park 64,Victoria Park June 4,,,,
,游行八九,Parade eighty-nine,1989 demonstration,,,,
,李源朝夫人,Ms. Li Yuanchao,Li Yuanchao's wife,"Li is VP of China. His wife, Gao Jianjin, is a professor of music at the Institute of Musicology of the Central Conservatory of Music in Beijing. Not sure what the deal with this is. Didn't find anything obviously negative, and in fact, found a very flattering profile of her in HK media",http://blog.ifeng.com/article/24434964.html,,
,打到共产党,Hit the Communist Party,Attack the Communist Party,,,,
,共产党纪元,Communist era,"Communist Party, Epoch [Times]",Preventing folks from getting access to undoubtedly critical news about the Communist Party in the Falun Gong-supported Epoch Times,,,
,纪元退党,Era resign,"Epoch [Times], Tuidang",,,,
,镇压维人,Repression of Uighurs,,,,,
,劳教所 迫害,Forced Labor Camp,,,,,
,秘件610,Secret piece 610,"Secret, 610",Refers to the 610 Department in charge of cracking down on Falun Gong,,,
,王丹89,Wang Dan 89,"Wang Dan, 1989",dissident/activist,,,
,中共派系,CCP factions,,,,,
,胡温 新四人帮,Hu and Wen new Gang of Four,,Gang of Four was the quartet led by Mao's wife which was charged with attempting to overthrow the Communist Party,,,
,中共丑闻,CCP scandal,,,,,
,中共混乱,CPC confusion,,,,,
,中共倒台,CCP downfall,,,,,
,薄汪争斗,Thin Wang battle,Bo-Wang conflict,"Bo Xilai's police chief Wang Lijun fled to the Chengdu embassy, reportedly in an attempt to exchange information about Bo Xilai for asylum. He later was a witness against Bo and revealed Bo's wife's plot to kill the British naitonal Neil Heywood.",,,
,北戴河内幕,Beidaihe Insider,Beidaihe behind-the-scenes story,various articles about various infighting amongst CCP,http://www.bbc.co.uk/zhongwen/simp/world/2012/08/120807_jp_beidaihe_meeting.shtml,,
,习胡之争,Xi Hu dispute,,,,,
*,邓小平 政治遗嘱,Deng Xiaoping's political testament,,Something to do with his legacy or how Jiang Zemin stepped in and solidified his power as Deng declined?,,,
,保福寺 车祸,Paul Temple accident,Baofusi traffic accident,Ling Jihua's son crashed his ferrari near Baofusi Bridge/Temple.,,,
,习上胡下,Xishanghuxia,"Xi rise, Hu fall","The changeover in power, from Hu Jintao to Xi Jinping",,,
,中共太子,CCP Prince,CCP princeling,,,,
,李鹏八九,Li eighty-nine,Li Peng 1989,Li Peng was former premier who pushed for crackdown on Tiananmen Square protesters,,,
,曝光中共,Exposure CCP,"Expose [a scandal], CCP",,,,
,无界新闻,Unbounded News,wujieliulan.com,"website critical of CCP, part of pro-Falun Gong network of websites",,,
,六四烛光,Sixty-four candlelight,June 4 candelight,reference to the holding aloft of candles during the annueal June 4 commemoration in Hong Kong,,,
,平反 法轮功,Vindication of Falun Gong,,,,,
,退党中心,Resignations Center,Tuidang center,,,,
,大纪元,The Epoch Times,,"Newspaper/website supportive of Falun Gong, critical of CCP",,,
,温家宝财产,Wen Jiabao property,,,,,
,中共 六四,CCP sixty-four,CCP June 4,,,,
,陈光诚,Chen Guangcheng,,activist,,,
,刘晓波,Liu Xiaobo,,activist,,,
,08宪章,Charter 08,,document advocating political reform in ChIna,,,
,零八宪章,Charter 08,,,,,
,中共残暴,CCP brutality,,,,,
*,薄熙来 政治遗嘱,Bo Xilai political wills,,"Like the Deng Xiaoping political will keyword, perhaps to do with his legacy or the confusion in who is in power now?",,,
,法拉利 保福寺,Ferrari Paul Temple,Ferrari Baofusi,Ling Jihua's son's car crash,,,
,北京之夏 六四,Beijing Summer sixty-four,"Beijing Summer, June 4","same as row 78 above, except for space",,,
,天安门 陆肆,Tiananmen Lusi,"Tiananmen, June 4",,,,
,六四 天安门,Tiananmen,"June 4, Tiananmen",,,,
,温云松 10亿,Wenyun Song 1000000000,"Wen Yunsong, 1 billion","Wen Yunsong, son of Wen Jiabao. Is a businessman who made headlines when his equity fund neared $1 billion.",http://blockedonweibo.tumblr.com/post/14224187547/wen-yunsong-also-known-as-winston-wen-is-a,,
,盘古共匪,Pangu Bandits,,same as row 98 above except this one has no space,,,
,六一零刘京,Six hundred ten Liu Jing,610 Liu Jing,same as row 108 above except this one has no space,,,
,灭中共,Destroy the CCP,,,,,
,四学者建言,Four scholars suggestions,,refers to appeal that four university professors submitted on behalf of a farmer who was reportedly murdered by authorities; keyword is on the 150 bad words list uncovered by hirakujira,http://blockedonweibo.tumblr.com/post/65571965959/panjin-open-fire-with-a-gun-panjin,,
,网络封锁,Internet blockade,,,,,
,温家 戴梦得,Winchester Diamend,Wen Jiabao diamond,Reference to Wen's wife's jewelry and diamond business through which she makes so much money. Also on hirakujira list.,http://blockedonweibo.tumblr.com/post/65665563388/these-seven-keywords-are-all-related-to-former,,
,温家 资产,Wenjia assets,Wen Jiabao assets,Also on hirakujira list,http://blockedonweibo.tumblr.com/post/65665563388/these-seven-keywords-are-all-related-to-former,,
,许志永,Xu Zhiyong,,He was one of the founders of the NGO Open Constitution Initiative and an active rights lawyer in China who helped those underprivileged. (Wikipedia) Recently arrested over the summer amidst crackdown on activists and online celebrities.,,,
,沃尔凯西,Casey Wall,Wu'erkaixi,Likely an alternative spelling for his name (吾尔开希). Activist.,,,
,吾尔开西,I opened the West Seoul,Wu'erkaixi,Likely an alternative spelling for his name (吾尔开希). Activist.,,,
,迫害弟子劳教所,Persecuted disciples Labor Camp,,Falun gong related. Also on hirakujira list.,http://en.minghui.org/html/articles/2013/8/4/141365.html,http://en.minghui.org/html/articles/2013/4/25/139054.html,http://en.minghui.org/html/articles/2012/12/28/136810.html
,马明哲 温云松,Mr Ma Wen Yunsong,"Ma Mingzhe, Wen Yunsong","Ma Mingzhe is head of Ping An Insurance, which is associated with Wen Jiabao's secret family wealth. Wen Yunsong is his son.",http://www.nytimes.com/2012/11/25/business/chinese-insurers-regulatory-win-benefits-a-leaders-family.html,,
,魏京生,Wei Jingsheng,,dissident,,,
,纪元 退党,Era resign,"Epoch Times, tuidang",,,,
,新四人帮,New Gang of Four,,"Supposed quartet of top politicians undermining the CCP by not being more vigorously anti-Bo Xilai: Wu Bangguo, Jia Qinglin, Li Changchun and Zhou Yongkang.",,,
,中共如何倒台,How the CCP downfall,,Rumors about supposed discussions that were happening behind closed doors wherein officials were planning for a post-CCP era,,,
,当今高层政治内幕,Today's high-level political insider,,Also on hirakujira list.,,,
,防和谐器,Anti harmonious unit,"Anti-""hexie"" tool",Website that swaps out known sensitive keywords with coded words,http://fanghexie.sinaapp.com/,,
,江氏 独裁,Jiang's dictatorship,,,,,
,纪念七五,Memorial seventy-five,Remember July 5,"Memorializing the Urumqi riots of July 5, 2009 when Uyghurs took to the streets.",http://www.rfa.org/mandarin/yataibaodao/shaoshuminzu/gr-07022013100338.html,http://en.wikipedia.org/wiki/July_2009_%C3%9Cr%C3%BCmqi_riots,
,推翻 共产党,Overthrow the Communist Party,,,,,
,胡温无能,Hu and Wen incompetent,,,,,
,邓小平政治遗嘱,Deng Xiaoping's political testament,,same as above only without space,,,
,北京枪声,Beijing gunfire,,,,,
,评价六四,Evaluation sixty-four,Evaluate June 4,,,,
,绝食静坐,Hunger protest,,,,,
,学潮坦克,Student protests tanks,,,,,
,打倒共产党,Down with the Communist Party,,,,,
,中共统治,CCP rule,,,,,
,中共黑暗,CCP Dark,,criticism of CCP,,,
,中共迫害,Persecution,"CCP, persecution",,,,
,法轮大法,Falun Dafa,,,,,
,法轮弟子,Falun disciple,,,,,
,李洪志,Li Hongzhi,,spiritual leader and founder of Falun Gong,,,
,转法轮,Zhuan Falun,,one of Falun Gong's primary book of teachings,,,
,中共 洗脑,Chinese Communist brainwashing,,,,,
,活摘 法轮 器官,Organ harvesting from living Falun,,,,,
,活摘 学员 器官,Participants organ harvesting,,,,,
,进京 上访,Beijing to petition,Beijing petition,"refers to practice of people going to Beijing to seek redress for their local greivances, and oftentimes the physical violence local officials use to keep petitioners from reaching Beijing",,,
,共党垮台,Communist collapse,,,,,
,中共垮台,CCP collapse,,,,,
,中共内斗,CCP infighting,,,,,
,中共权斗,CCP power struggle,,,,,
,薄案生枝,Thin twigs case,"All keywords that follow are related to Bo Xilai, including variations on his name (both homophones and coded keywords like ""not thick"" which is a reference to his surname which means ""thin"") and references to his and his family's actions as well as the government's responses to the growing scandal. Some of the keywords describe events, others are accusatory, and the rest are supportive.",,,,
,薄案玄机,Thin case mystery,,,,,
,薄博古特,Thin Bogut,,,,,
,薄粉相信,Thin powder believed,,,,,
,薄公谷妈,Baogongguma,,,,,
,薄公平反,Thin fair view,,,,,
,薄公西来,Thin public to the West,,,,,
,薄古开来,Thin ancient open,,,,,
,薄今厚古,Baojinhougu,,,,,
,薄军挺近,Thin army very close,,,,,
,薄来先生,Thin to Mr.,,,,,
,薄氏熙来,Thin 's Xilai,,,,,
,薄西大人,Thin West adults,,,,,
,薄熙遗书,Bo Xilai testament,,,,,
,博讯独家,Exclusive Boxun,,,,,
,不厚大哥,Big Brother is not thick,,,,,
,不厚都督,Not thick captaincy,,,,,
,不厚获罪,Not thick felon,,,,,
,不厚开庭,Not thick hearing,,,,,
,不厚乱渝,Not thick mess Chongqing,,,,,
,不厚受审,Not thick trial,,,,,
,不厚书记,Not thick secretary,,,,,
,不厚先生,"Not thick , Mr.",,,,,
,不厚冤枉,Not thick wronged,,,,,
,打黑书记,Hitting the secretary,,,,,
,打温挺薄,Dawentingbao,,,,,
,倒薄事件,Pour thin Event,,,,,
,孤军薄旅,Thin trip alone,,,,,
,瓜瓜声明,Guagua Statement,,,,,
,还民熙来,Also China Xilai,,,,,
,还我西莱,Also I Sile,,,,,
,还我熙来,Also I Xilai,,,,,
,了结薄案,Thin case pending,,,,,
,判薄无罪,Sentenced thin innocence,,,,,
,平西王薄,Pingxi thin,,,,,
,停薄降温,Stop thin cooling,,,,,
,挺b大军,Ting b army,,,,,
,挺薄大军,Very thin army,,,,,
,挺薄行动,Very thin Action,,,,,
,挺薄降温,Very thin cooling,,,,,
,挺薄颂毛,Tingbosongmao,,,,,
,王薄事件,Wang Bo Event,,,,,
,雾都表哥,Fog Cousin,,,,,
,熙来大哥,Xilai Brother,,,,,
,熙来书记,Xilai secretary,,,,,
,熙来同志,Comrade hee,,,,,
,习与薄案,Case study with thin,,,,,
,拥毛挺b,Yong Mao Ting b,,,,,
,拥习挺ｂ,Yong Xi Ting b,,,,,
,拥习挺薄,Yongxitingbao,,,,,
,支持薄粉,Support thin powder,,,,,
,重庆薄粉,Chongqing thin powder,,,,,
,重庆政变,Chongqing coup,,,,,
,不厚希莱,Not thick Hilaire,,,,,
,不厚熙来,Not thick Xilai,,,,,
,bo西莱,bo Sile,,,,,
,博古开来,Bogut open,,,,,
,bo西来,bo the West,,,,,
,bo袭来,bo hit,,,,,
,薄粉军迷,Thin Pink Army fans,,,,,
,天佑熙来,God Bless Xilai,,,,,
,挺薄颂毛,Tingbosongmao,,,,,
,打温挺薄,Dawentingbao,,,,,
,还薄清白,Also Thin innocence,,,,,
,bao熙来,bao Xilai,,,,,
,bo王事件,bo Wang Event,,,,,
,薄熙lai,Bo Xilai lai,,,,,
,薄自认无罪,Not guilty thin,,,,,
