word_id,word,human_translation,machine_translation,pinyin,description,client,lists,category,category_id,theme
123,刘晓波,Liu Xiaobo (person's name),Liu Xiaobo,liú xiǎo bō,"A human rights activist.  He was arrested two days before the official Charter 08 release, probably because he was a major author.  He won the Nobel Peace Prize in 2010, but could not be physically present to accept it because he is still in prison. For more information, please see: http://en.wikipedia.org/wiki/Liu_Xiaobo. ",Multiple,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll;YY High,Dissident/Activist/Rights defender,93,People
124,丁子霖,The leader of the Tiananmen Mothers.  Her son died in the Tiananmen Square Protests of 1989.  She is a Charter 08 signatory.,Ding Zilin,dīng zi lín,,Multiple,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll;YY High,Dissident/Activist/Rights defender,93,People
137,口交,,Oral sex,kǒu jiāo,,Multiple,9158;GuaGua;Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Prurient,1,Social
142,性交,,Sexual intercourse,xìng jiāo,,Multiple,9158;GuaGua;Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Prurient,1,Social
143,援交,"Women paid to go on a date, which may or may not entail prostitution.",Enjo,yuán jiāo,,9158,9158,Prurient,1,Social
147,轮奸,,Gang rape,lún jiān,,Sina Show,Sina Show Built-in;Sina Show Built-in UCClient.dll,Prurient,1,Social
152,共惨党,Miserable party,Total miserable party,gòng cǎn dǎng,,YY,YY High,Criticism,128,Political
157,一党专政,One-party dictatorship,One party dictatorship,yī dǎng zhuān zhèng,"This is in general related to the political system in China, where the Communist Party of China is at the helm of control.
More specifically, it is also related to the 2011 Chinese pro-democracy protests (namely the Jasmine Revolution). Among the slogans shouted during rallies were ""End one party dictatorship!"" [結束一黨專政] or ""Terminate one party rule!"" [停止一黨專政]. For more information, please see: http://en.wikipedia.org/wiki/2011_Chinese_pro-democracy_protests. ",Sina Show,Sina Show,Jasmine Revolution,58,Event
160,江贼民,Jiang Zei Min,Jiangzei China,jiāng zéi mín,"Apparently another way to write Jiang Zemin's name, with the last two characters meaning ""traitor"" and ""citizens"".",Multiple,9158 Nicknames;Sina Show Built-in;Sina Show Built-in UCClient.dll,CPC member / Gov official,3,People
202,肏屄,,Fuck cunt,cào bī,,YY,YY High,Prurient,1,Social
212,八九,Eighty-nine,Eighty-nine,bā jiǔ,A reference to the Tiananmen Square protests of 1989.,Sina Show,Sina Show Built-in;Sina Show Built-in UCClient.dll,Tiananmen Square (June 4 1989),34,Event
214,河殇,River Elegy,River Elegy,hé shāng,"This is the title of a six-part documentary shown on CCTV (Chinese government controlled television) in 1988 that portrayed the erosion of Chinese culture. For more information, please see: http://en.wikipedia.org/wiki/River_Elegy. ",Sina Show,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Tiananmen Square (June 4 1989),34,Event
215,八九民运,1989 Democracy Movement,June incident,bā jiǔ mín yùn,"Referring to 1989 democracy movement events that led to the June 4th massacre.  For more information on the democracy movement in China, please see: http://en.wikipedia.org/wiki/Chinese_democracy_movement. ",Multiple,Sina Show;YY High,Tiananmen Square (June 4 1989),34,Event
221,肉洞,A reference to the vagina.,Roudong,ròu dòng,,Multiple,9158 Nicknames;Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Prurient,1,Social
225,操逼,"é€¼ actually means to force, but has the same pinyin as å±„ (pussy).",Operating force,cāo bī,,Multiple,GuaGua;Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll;YY High,Prurient,1,Social
230,骚逼,Note 逼 as a replacement for 屄.,Sao force,sāo bī,,Multiple,GuaGua;Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll;YY High,Prurient,1,Social
233,淫水,,Sexual secretion,yín shuǐ,,Multiple,9158 Nicknames;Sina Show,Prurient,1,Social
236,逼样,This is a pinyin variation on 屄痒,Force sample,bī yàng,,Sina Show,Sina Show Built-in;Sina Show Built-in UCClient.dll,Prurient,1,Social
241,妈逼,Note 逼 in place of 屄,Mom forced,mā bī,,Sina Show,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Prurient,1,Social
246,屁眼,"Or, more literally, ""fart eye"".  The pinyin for the first character, 屁 is ""pi"" and is pronounced like the English word, ""pea"".",Asshole,pì yǎn,,Sina Show,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Prurient,1,Social
253,二B,"B likely means 屄, or ""vagina""",Two B,èr B,,Sina Show,Sina Show Built-in;Sina Show Built-in UCClient.dll,Prurient,1,Social
257,阴部,,Private parts,yīn bù,,Multiple,GuaGua;Sina Show Built-in;Sina Show Built-in UCClient.dll,Prurient,1,Social
258,阴毛,,Pubes,yīn máo,,Multiple,9158 Nicknames;Sina Show,Prurient,1,Social
265,出售手枪,,Pistol sale,chū shòu shǒu qiāng,,YY,YY High,Illicit goods and services / Trafficking of illicit goods and services,66,Social
288,泰国Vervata,Thailand Vervata,Thailand Vervata,tài guó Vervata,Vervata is a mobile phone software company which produces the FlexiSPY sytem. See http://www.vervata.com/,YY,YY High,Illicit goods and services / Trafficking of illicit goods and services,66,Social
296,最新版手机监听软件,The latest version of the phone monitoring software,The latest version of the mobile monitoring software,zuì xīn bǎn shǒu jī jiān tīng ruǎn jiàn,,YY,YY High,Illicit goods and services / Trafficking of illicit goods and services,66,Social
341,结束一党专政,Slogan for Jasmine Revolution in China http://www.cecc.gov/chinas-jasmine-revolution-assembly-sites-in-each-major-city-chinese-text,End one-party dictatorship,jié shù yī dǎng zhuān zhèng,"This is related to the Jasmine Revolution, an online call for pro-democracy protests in major Chinese cities. For more information, please see: http://jasmineplaces.blogspot.ca/2011/05/blog-post_4422.html (Chinese); http://staysweethome.blogspot.ca/2011_02_01_archive.html (Chinese); http://en.wikipedia.org/wiki/2011_Chinese_pro-democracy_protests.",YY,YY High,Jasmine Revolution,58,Event
346,真理部,,Ministry of Truth,zhēn lǐ bù,"This is related to censorship instructions that the government (central or local) issue to the media or Internet companies. For more information, please see: http://chinadigitaltimes.net/china/ministry-of-truth/.",Sina Show,Sina Show,Censorship / Surveillance in China,83,Political
423,茉莉,Jasmine,Jasmine,mò lì,,Sina Show,Sina Show,Jasmine Revolution,58,Event
439,习胖子,(loose translation) Fat man Xi,Xi Fat,xí pàng zi,"This is likely a reference to Chinese Vice President (and likely next President) Xi Jinping [习近平]. The character for his last name (Xi) is the same as the term used here.
See example of reference: http://twitter.com/Edourdoo/statuses/225590310250627074. ",Multiple,9158;Sina Show,CPC member / Gov official,119,People
440,五月三十五,May 35th,五月 thirty-five,wǔ yuè sān shí wǔ,Reference to June 4. ,YY,YY High,Tiananmen Square (June 4 1989),34,Event
461,温影帝,Best Actor Wen,Wen winner,wēn yǐng dì,"As an attack against Premier Wen Jiabao, Yu Jie wrote a book called ""China's Best Actor: Wen Jiabao."" As a result of his writings Yu Jie has been persecuted by Chinese officials, and in January 2012, he and his family fled to the US. For more information, please see: http://www.nytimes.com/2012/02/26/world/asia/yu-jie-dissident-chinese-writer-continues-his-work-in-us.html?pagewanted=all&_r=0.",YY,YY High,Criticism,128,Political
476,二十二年前,22 years ago,Twenty-two ago,èr shí èr nián qián,"It appears that this phrase was first censored/under surveillance in 2011. This could be a reference to June 4th, 1989 -- in which 2011 was the 22nd year anniversary. See for example: https://www.facebook.com/media/set/?set=a.10150272552906414.374214.94042326413. ",YY,YY High,Tiananmen Square (June 4 1989),34,Event
477,瓶反鹿死,(contextual translation) Redress June Fourth,Bottle Anti dead deer,píng fǎn lù sǐ,"This is a homonym for ""平反六四"" (ping fan liu si).",YY,YY High,Tiananmen Square (June 4 1989),34,Event
492,办证,Processing identification/documents,Accreditation,bàn zhèng,,Sina Show,Sina Show,Illicit goods and services / Trafficking of illicit goods and services,66,Social
585,薄熙来,Bo Xilai,Bo Xilai,báo xī lái,"For more information, please see: http://en.wikipedia.org/wiki/Bo_Xilai.",Multiple,9158;YY High,Bo Xilai Scandal,2,Event
668,视频裸聊,Video nude chat,Nude video chat,shì pín luǒ liáo,,YY,YY High,Prurient,1,Social
764,成人视频下载,Adult video downloads,Adult Video Downloads,chéng rén shì pín xià zài,sexual content,YY,YY High,Prurient,1,Social
826,高仿毕业证,High quality imitation diploma,High imitation diploma,gāo fǎng bì yè zhèng,,9158,9158,Illicit goods and services / Trafficking of illicit goods and services,66,Social
886,办证服务公司,Company that processes identification/certification (loose translation),Accreditation Services,bàn zhèng fú wù gōng sī,,YY,YY High,Illicit goods and services / Trafficking of illicit goods and services,66,Social
947,办理大专文凭,Processing junior college diplomas,Apply for Diploma,bàn lǐ dà zhuān wén píng,,9158,9158,Illicit goods and services / Trafficking of illicit goods and services,66,Social
1142,出售X卧底,Selling Xwodi (software),X undercover sale,chū shòu X wò dǐ,"The Xwodi is a Chinese software for monitoring mobile phones. The Xwodi is a new generation of the Flexispy software. For more information, please see: http://www.theregister.co.uk/2011/02/25/mobile_spyware/.",YY,YY High,Illicit goods and services / Trafficking of illicit goods and services,66,Social
1170,美女激情视频,Beautiful woman passionate video,Beauty passion video,měi nǚ jī qíng shì pín,Sexual content. ,Sina Show,Sina Show,Prurient,1,Social
1195,电购数据,Information on television shopping,Power purchase data,diàn gòu shù jù,,YY,YY High,Illicit goods and services / Trafficking of illicit goods and services,66,Social
1573,08宪章,Charter 08,Charter 08,08 xiàn zhāng,"A manifesto signed by over 350 intellectuals, activists, and former party officials in 2008. It was modeled after the anti-soviet Charter 77 in Czechoslovakia in 1977. Liu Xiaobo was a major author and signatory, and the 08 charter was a major reason for his arrest.",Multiple,Sina Show;YY High,Charter 08,77,Political
1582,38军,38th Army,38 Jun,38 jūn,This is a military formation of the PRC's People's Liberation Army. It participated in the Tiananmen Square crackdown in June 1989.,YY,YY High,Tiananmen Square (June 4 1989),34,Event
1590,92式,,Type 92,92 shì,"The ""Type 92"" is a reference to the QSZ-92 service pistol, used by the PLA. See http://en.wikipedia.org/wiki/QSZ-92",9158,9158,Illicit goods and services / Trafficking of illicit goods and services,66,Social
1608,chailing,Chai Ling  (Person's name),,,"Chai Ling was one of the student leaders in the 1989 Tiananmen protests. She fled from China in 1990 with the help of Hong Kong organizations. She finally moved and settled in the US. Today, she is the head of a nonprofit organization called ""All Girls Allowed"" that is aimed at eliminating rights violations associated to China's One-Child Policy. She recently published a memoir, ""A Heart for Freedom."" She has recently been involved in numerous controversies. She became and evangelical Christian and was sued by a former employee (a Chinese activist) who alleges that Chai Ling fired her for being insufficiently religious. Chai Ling has also been accused of using the lives and well-being of students in 1989 to further her personal career. Finally, in June 2012, she wrote a letter forgiving Chinese government officials for the 1989 crackdown against students. For more information, please see: http://en.wikipedia.org/wiki/Chai_Ling; http://www.hrichina.org/content/6117. ",YY,YY High,Dissident/Activist/Rights defender,93,People
1626,FA-luen,Falun Gong ,,,"For more information on Falun Gong and Falun Dafa, please see: http://en.wikipedia.org/wiki/Falun_Gong.",Sina Show,Sina Show,Falun Gong,47,Political
1627,falun,Falun Gong,,,"For more information on Falun Gong and Falun Dafa, please see: http://www.falundafa.org/; http://en.wikipedia.org/wiki/Falun_Gong.",Sina Show,Sina Show,Falun Gong,47,Political
1638,freeliuxiaobo,,,,"Liu Xiaobo [劉曉波] is a Nobel Peace Prize Laureate and a Chinese political dissident. He is currently imprisoned in China for his political activism. For more information, please see: http://en.wikipedia.org/wiki/Liu_Xiaobo. ",YY,YY High,Dissident/Activist/Rights defender,93,People
1666,hexun,,,,Could refer to Hexun [和讯] (http://www.hexun.com/) a Chinese-language financial news website.,Sina Show,Sina Show,Chinese pro gov,88,Political
1677,K粉,K powder,K powder,K fěn,"This is a drug. For more information, please see: http://en.wikipedia.org/wiki/Ketamine. ",Sina Show,Sina Show,Illicit goods and services / Trafficking of illicit goods and services,66,Social
1680,lihongzhi,,,,Li Hongzhi [李洪志] is the founder and spiritual master of Falun Gong. See http://en.wikipedia.org/wiki/Li_Hongzhi,Multiple,GuaGua;Sina Show Built-in;Sina Show Built-in UCClient.dll,Falun Gong,47,Political
1681,lipeng,Li Peng,,,"Li Peng [李鹏] was China's fourth Premier between 1987 and 1998 under presidents Jiang Zemin and Yang Shangkun. He was also a member of the all-powerful Politburo Standing Committee of the Communist Party of China until 2002. It has been argued that Li Peng, even though retired, still has influence over the Politburo. For more information, please see: http://en.wikipedia.org/wiki/Li_Peng.",Sina Show,Sina Show,CPC member / Gov official,119,People
1684,luen功,Falun Gong,luen power,luen gōng,"For more information on Falun Gong and Falun Dafa, please see: http://en.wikipedia.org/wiki/Falun_Gong.
",Sina Show,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Falun Gong,47,Political
1701,Q Q,,,,,Sina Show,Sina Show,Chinese software / websites,120,Technology
1714,six四,June 4 [1989],six four,six sì,Reference to Tiananmen Square crackdown. ,YY,YY High,Tiananmen Square (June 4 1989),34,Event
1715,six月four日,June 4 [1989],six months four days,six yuè four rì,"This is a reference to the Tiananmen Square crackdown on June 4, 1989. ",YY,YY High,Tiananmen Square (June 4 1989),34,Event
1760,zemin,,,,"Jiang Zemin is the former president of China. For more information, please see: http://en.wikipedia.org/wiki/Jiang_Zemin.",Sina Show,Sina Show,CPC member / Gov official,119,People
1797,白粉,White powder (narcotic) ,White powder,bái fěn,,9158,9158,Illicit goods and services / Trafficking of illicit goods and services,66,Social
1798,白皮书,White paper,White paper,bái pí shū,"This is a government policy document. The Chinese has issued many on different subjects. For more information, please see: http://english.peopledaily.com.cn/whitepaper/home.html. ",Multiple,Sina Show Built-in;Sina Show Built-in UCClient.dll;YY High,Occupy Central HK,156,Event
1801,百家乐,Baccarat (game),Baccarat,bǎi jiā lè,,Sina Show,Sina Show,Gambling,69,Social
1810,包养,,Nurturing,bāo yǎng,"When men provide for their mistresses; often a disguised form of the sex trade. For more information, please see: http://zh.wikipedia.org/wiki/%E5%8C%85%E5%85%BB (Chinese). ",Sina Show,Sina Show,Prurient,1,Social
1811,保钓,Protect/Defend Diaoyu Islands,Diaoyu Islands,bǎo diào,"""Bao"" [保] means to protect, ""diao"" [钓] is a reference to the Diaoyu Islands. This alludes to the ""Baodiao movement"" [保釣運動], which asserts Chinese sovereignty over the Diaoyu/Sankaku Islands. For more information, please see: http://www.chinadaily.com.cn/hkedition/2012-09/15/content_15759842.htm. ",Sina Show,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Diaoyu / Senkaku islands protests,24,Event
1812,保护伞,Protective umbrella,Umbrella,bǎo hù sǎn,"This is a political term in China that refers to government officials who protect or allow organized crime groups/criminals commit illegal acts. For more information, please see:  http://baike.baidu.com/view/427737.htm (Chinese). ",YY,YY High,Corruption Scandals,104,Political
1822,鲍彤,Person's name,Bao Tong,bào tóng,"Bao Tong was former Chinese politician. He was the Director of the Office of Political Reform and the Policy Secretary for Zhao Ziyang (former Premier of China). For more information, please see: http://en.wikipedia.org/wiki/Bao_Tong.",Multiple,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll;YY High,CPC member / Gov official,119,People
1826,暴政,,Tyranny,bào zhèng,,Sina Show,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Government,129,Political
1838,冰毒,"""Ice"" poison (crystal methamphetamine)",Meth,bīng dú,"For more information on the sale and use of crystal meth in China, please see: http://en.wikipedia.org/wiki/Illegal_drug_trade#Methamphetamine.",Multiple,9158;Sina Show;YY High,Illicit goods and services / Trafficking of illicit goods and services,66,Social
1840,博讯,,Boxun,bó xùn,"Boxun.com (博訊新聞網) is an overseas Chinese community website created by Meicun ""Watson"" Meng which  covers international political news and human rights abuses in the People's Republic of China, among other topics. See http://en.wikipedia.org/wiki/Boxun.com",Multiple,9158;Sina Show Built-in;Sina Show Built-in UCClient.dll,Chinese independent / opposition,85,Political
1851,藏独,Tibet independence,Tibetan separatist,cáng dú,"This is likely a reference to the Tibetan independence movement from the People's Republic of China. For more information, please see: http://en.wikipedia.org/wiki/Tibetan_independence_movement.",Multiple,9158 Nicknames;Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Tibetan,56,Political
1862,曾庆红,Person's name,Zeng,céng qìng hóng,"Zeng Qinghong is a retired Chinese politician. He was a close ally of former president Jiang Zemin and a member of the all powerful Polituburo Standing Committee of the CPC. For more information, please see: http://en.wikipedia.org/wiki/Zeng_Qinghong. ",Multiple,GuaGua;Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,CPC member / Gov official,119,People
1881,陈子明,Person's name,Chen Ziming,chén zi míng,"Chen Zimin is a Chinese political dissident. He was arrested in late 1989 for his involvement in the Tiananmen Square protests in 1989. Chinese officials declared that he and Wang Juntao were the main planners ""black hands"" behind the democracy movement. Chen Zimin and Wang Juntao were both convicted and sentenced to 13 years of imprisonment. Their cases garnered significant protests overseas.

In May 1994, Chen Zimin was released on medical parole. He was later placed under house arrest and returned to prison. His sentence was finally completed in 2002. For more information, please see: http://en.wikipedia.org/wiki/Arrest_and_trial_of_Chen_Ziming_and_Wang_Juntao.",Sina Show,Sina Show,Dissident/Activist/Rights defender,93,People
1883,陳水扁,Person's name (traditional Chinese) ,Chen Shui-bian,chén shuǐ biǎn,"Chen Shui-bian is Taiwan's former president. He was involved and has been imprisoned for financial scandals and corruptions. For more information, please see: http://en.wikipedia.org/wiki/Chen_Shui-bian. ",Sina Show,Sina Show,Taiwan,81,Political
1894,赤匪,Red thugs,Red bandits,chì fěi,"This is likely related to the campaign (led by Bo Xilai in Chongqing) to revive Cultural Revolution-era's ""red culture"". This had an emphasis on increasing state control and the promotion of new-leftist ideology. For more information, please see: http://en.wikipedia.org/wiki/Bo_Xilai. ",Sina Show,Sina Show Built-in;Sina Show Built-in UCClient.dll,Criticism,128,Political
1897,赤化,,Communization,chì huà,"This is likely related to the campaign (led by Bo Xilai in Chongqing) to revive Cultural Revolution-era's ""red culture"". This had an emphasis on increasing state control and the promotion of new-leftist ideology. For more information, please see: http://en.wikipedia.org/wiki/Bo_Xilai. ",Sina Show,Sina Show Built-in;Sina Show Built-in UCClient.dll,General,48,Political
1901,畜生,Beast,Beast,chù shēng,"This is likely a reference to the names that students were calling the row of soldiers at Tiananmen Square in June 1989. For more information, please see: http://www.tiananmenduizhi.com/2012/06/blog-post_5705.html. ",Sina Show,Sina Show,Tiananmen Square (June 4 1989),34,Event
1910,达赖,Dalai Lama,Dalai,dá lài,"For more information on the Dalai Lama, please see: http://en.wikipedia.org/wiki/14th_Dalai_Lama.",Multiple,9158 Nicknames;Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Tibetan,56,Political
1911,打倒,Defeat ,Down,dǎ dào,,Sina Show,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Context unclear,110,Misc
1913,大法,da fa,Dafa,dà fǎ,"Short form for Falun Dafa or Falun Gong

For more information on Falun Gong or Falun Dafa, please see: http://en.wikipedia.org/wiki/Falun_Gong. ",Sina Show,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Falun Gong,47,Political
1920,大中华论坛,Mychinaheart.com ,Greater China Forum,dà zhōng huá lùn tán,"This is a Chinese forum -- where comments seem to touch on political issues as well. For more information, see: mychinaheart.com",Sina Show,Sina Show Built-in;Sina Show Built-in UCClient.dll,URLs,107,Technology
1935,邓小平,Person's name,Deng Xiaoping,dèng xiǎo píng,"Deng Xiaoping was a prominent politician and leader of the CPC. He has never held office in the CPC or the PRC government but served as the ""paramount leader"" of the PRC between 1978 and 1992. He was also key in enforcing martial law in 1989 during the Tiananmen Square pro-democracy protests. For more ifnroamtion, please see: http://en.wikipedia.org/wiki/Deng_Xiaoping. ",Multiple,GuaGua;Sina Show Built-in;Sina Show Built-in UCClient.dll;YY High,CPC member / Gov official,119,People
1938,抵制,,Boycott,dǐ zhì,"This is likely a reference to the Chinese boycotts of Japanese products as a result of the Diaoyu Island disputes. For more information, please see: http://en.wikipedia.org/wiki/Chinese_boycotts_of_Japanese_products; http://www.independent.co.uk/news/business/news/japanese-exports-plunging-after-boycotts-from-row-with-china-8222062.html. ",Sina Show,Sina Show,Diaoyu / Senkaku islands protests,24,Event
1939,弟子,,Disciple,dì zi,"Specific context unclear -- could be a reference to Falun Gong, Tibetan Buddhism, etc. ",Sina Show,Sina Show Built-in;Sina Show Built-in UCClient.dll,General,127,Political
1942,钓鱼岛,Diaoyu Islands or Senkaku Islands,Diaoyu Islands,diào yú dǎo,"This is a reference to the recent disputes between China and Japan over the Senkaku/Diaoyu Islands. For more information, please see: http://en.wikipedia.org/wiki/Senkaku_Islands_dispute. ",Sina Show,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Diaoyu / Senkaku islands protests,24,Event
1949,动乱,Unrest,Turmoil,dòng luàn,,Sina Show,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Generic,135,Political
1950,动态网,Dynaweb,Dynamic Network,dòng tài wǎng,"This an anti-censorship portal to allow Internet users in China to surf the web freely despite the Chinese firewall. Dynaweb is associated with Falun Gong. For more information, please see: http://dongtaiwang.com/loc/about_en.php.",YY,YY High,Circumvention,53,Political
1953,毒品,,Drugs,dú pǐn,,Multiple,9158;Sina Show,Illicit goods and services / Trafficking of illicit goods and services,66,Social
1954,独裁,,Dictatorship,dú cái,,Sina Show,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Criticism,128,Political
1969,法輪,Falun [Gong],Falun,fǎ lún,"For more information on Falun Gong or Falun Dafa, please see: http://en.wikipedia.org/wiki/Falun_Gong. ",Sina Show,Sina Show,Falun Gong,47,Political
